| slit |                    name | maskdef_id |  objname |     objra |   objdec | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n | maskdef_extract |
|   24 | SPAT0034-SLIT0024-MSC01 |       2004 |     2004 | 176.76466 | -1.43950 |        33.7 |        0.865 |      3.00 |    0.823 | 1.23 |           False |
|   62 | SPAT0064-SLIT0062-MSC01 |       1002 |     1002 | 176.77112 | -1.46997 |        64.0 |        0.548 |      4.00 |    0.400 | 0.06 |            True |
|  104 | SPAT0115-SLIT0104-MSC01 |       2007 |     2007 | 176.77393 | -1.46939 |       115.0 |        0.901 |      3.00 |    0.406 | 0.41 |           False |
|  144 | SPAT0142-SLIT0144-MSC01 |       2000 |     2000 | 176.78107 | -1.46897 |       142.5 |        0.415 |      3.00 |    0.703 | 0.51 |           False |
|  186 | SPAT0183-SLIT0186-MSC01 |       2006 |     2006 | 176.78609 | -1.43498 |       183.1 |        0.407 |      3.00 |    0.918 | 0.56 |           False |
|  226 | SPAT0224-SLIT0226-MSC01 |       1001 |     1001 | 176.79460 | -1.49941 |       224.2 |        0.433 |      3.00 |    1.032 | 0.73 |           False |
|  268 | SPAT0265-SLIT0268-MSC01 |       1000 |     1000 | 176.79802 | -1.41240 |       264.7 |        0.399 |      3.00 |    1.066 | 0.37 |           False |
|  308 | SPAT0308-SLIT0308-MSC01 |       1006 |     1006 | 176.80028 | -1.45576 |       307.7 |        0.483 |      3.00 |    0.400 | 0.27 |           False |
|  308 | SPAT0319-SLIT0308-MSC01 |       1006 | SERENDIP | 176.80704 | -1.45576 |       319.2 |        0.781 |      3.00 |    0.705 | 0.37 |           False |
|  350 | SPAT0348-SLIT0350-MSC01 |       1014 |     1014 | 176.81024 | -1.45598 |       348.1 |        0.468 |      3.00 |    0.548 | 0.70 |           False |
|  390 | SPAT0401-SLIT0390-MSC01 |       1011 |     1011 | 176.81348 | -1.47485 |       401.2 |        0.856 |      3.00 |    0.400 | 0.21 |           False |
|  432 | SPAT0430-SLIT0432-MSC01 |       1010 |     1010 | 176.81651 | -1.45382 |       430.1 |        0.443 |      3.00 |    0.696 | 0.44 |           False |
|  432 | SPAT0442-SLIT0432-MSC01 |       1010 | SERENDIP | 176.82599 | -1.45382 |       442.4 |        0.830 |      3.00 |    0.400 | 0.28 |           False |
|  472 | SPAT0472-SLIT0472-MSC01 |       1007 |     1007 | 176.82523 | -1.49539 |       471.5 |        0.472 |      3.00 |    0.601 | 0.16 |           False |
|  514 | SPAT0513-SLIT0514-MSC01 |       1016 |     1016 | 176.83212 | -1.42600 |       513.2 |        0.462 |      3.00 |    0.400 | 0.24 |           False |
|  514 | SPAT0525-SLIT0514-MSC01 |       1016 | SERENDIP | 176.84345 | -1.42600 |       524.6 |        0.867 |      3.00 |    0.400 | 0.25 |           False |
|  554 | SPAT0554-SLIT0554-MSC01 |       2010 |     2010 | 176.83940 | -1.47770 |       553.7 |        0.494 |      3.00 |    0.400 | 0.23 |           False |
|  554 | SPAT0566-SLIT0554-MSC01 |       2010 | SERENDIP | 176.85163 | -1.47770 |       566.0 |        0.851 |      3.00 |    0.678 | 0.32 |           False |
|  596 | SPAT0605-SLIT0596-MSC01 |       3001 |     3001 | 176.84326 | -1.47989 |       604.9 |        0.766 |      3.00 |    1.096 | 0.44 |           False |
|  636 | SPAT0635-SLIT0636-MSC01 |       1012 |     1012 | 176.85321 | -1.48512 |       634.7 |        0.440 |      3.00 |    0.400 | 0.37 |           False |
