| slit |                    name | maskdef_id |  objname |     objra |  objdec | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n | maskdef_extract |
|   25 | SPAT0025-SLIT0025-MSC01 |       1004 |     1004 | 139.46101 | 2.62551 |        25.3 |        0.506 |      3.00 |    0.734 | 0.36 |           False |
|   66 | SPAT0065-SLIT0066-MSC01 |       3002 |     3002 | 139.43430 | 2.62109 |        64.8 |        0.507 |      3.00 |    1.044 | 0.65 |           False |
|  106 | SPAT0106-SLIT0106-MSC01 |       2001 |     2001 | 139.42953 | 2.61840 |       105.5 |        0.426 |      3.00 |    0.400 | 0.26 |           False |
|  146 | SPAT0146-SLIT0146-MSC01 |       1011 |     1011 | 139.48262 | 2.61406 |       145.5 |        0.471 |      3.00 |    1.141 | 0.29 |           False |
|  186 | SPAT0196-SLIT0186-MSC01 |       1012 |     1012 | 139.47615 | 2.61171 |       195.8 |        0.762 |      3.00 |    0.633 | 0.25 |           False |
|  226 | SPAT0229-SLIT0226-MSC01 |       3001 |     3001 | 139.43285 | 2.60997 |       228.5 |        0.523 |      3.00 |    0.673 | 0.31 |           False |
|  267 | SPAT0266-SLIT0267-MSC01 |       2003 |     2003 | 139.41512 | 2.60730 |       265.7 |        0.488 |      3.00 |    0.642 | 3.24 |           False |
|  307 | SPAT0305-SLIT0307-MSC01 |       1009 |     1009 | 139.44408 | 2.60503 |       304.7 |        0.431 |      3.00 |    0.433 | 0.81 |           False |
|  307 | SPAT0319-SLIT0307-MSC01 |       1009 | SERENDIP | 139.44408 | 2.59831 |       318.5 |        0.878 |      3.00 |    0.074 | 0.64 |           False |
|  347 | SPAT0347-SLIT0347-MSC01 |       1006 |     1006 | 139.43733 | 2.59980 |       346.6 |        0.489 |      3.00 |    0.952 | 0.57 |           False |
|  387 | SPAT0389-SLIT0387-MSC01 |       1007 |     1007 | 139.43427 | 2.59458 |       389.0 |        0.567 |      4.00 |    0.400 | 0.22 |            True |
|  427 | SPAT0427-SLIT0427-MSC01 |       3004 |     3004 | 139.49036 | 2.58868 |       427.0 |        0.491 |      3.00 |    1.211 | 0.23 |           False |
|  467 | SPAT0468-SLIT0467-MSC01 |       1005 |     1005 | 139.45409 | 2.58569 |       468.0 |        0.522 |      3.00 |    0.641 | 0.16 |           False |
|  507 | SPAT0508-SLIT0507-MSC01 |       1000 |     1000 | 139.47028 | 2.58247 |       507.7 |        0.506 |      3.00 |    1.015 | 0.14 |           False |
|  547 | SPAT0547-SLIT0547-MSC01 |       1003 |     1003 | 139.45595 | 2.57916 |       547.1 |        0.508 |      3.00 |    0.848 | 0.90 |           False |
|  587 | SPAT0579-SLIT0587-MSC01 |       3000 |     3000 | 139.44325 | 2.56748 |       578.9 |        0.313 |      3.00 |    0.808 | 1.77 |           False |
|  627 | SPAT0627-SLIT0627-MSC01 |       1013 |     1013 | 139.42543 | 2.55976 |       627.0 |        0.506 |      3.00 |    0.826 | 0.55 |           False |
|  668 | SPAT0668-SLIT0668-MSC01 |       3008 |     3008 | 139.42420 | 2.54743 |       667.5 |        0.507 |      3.00 |    1.087 | 0.19 |           False |
|  708 | SPAT0708-SLIT0708-MSC01 |       3006 |     3006 | 139.42421 | 2.53799 |       708.3 |        0.494 |      3.00 |    0.735 | 0.17 |           False |
