# logne logq logOH_12 OII_ratio
0.0  6.50 7.63  1.4524  
0.0  6.50 8.23  1.4528  
0.0  6.50 8.53  1.4536  
0.0  6.50 8.93  1.4568  
0.0  6.50 9.23  1.4634  
0.0  6.75 7.63  1.4521  
0.0  6.75 8.23  1.4526  
0.0  6.75 8.53  1.4534  
0.0  6.75 8.93  1.4566  
0.0  6.75 9.23  1.4632  
0.0  7.00 7.63  1.4518  
0.0  7.00 8.23  1.4524  
0.0  7.00 8.53  1.4533  
0.0  7.00 8.93  1.4564  
0.0  7.00 9.23  1.4632  
0.0  7.25 7.63  1.4516  
0.0  7.25 8.23  1.4522  
0.0  7.25 8.53  1.4533  
0.0  7.25 8.93  1.4564  
0.0  7.25 9.23  1.4635  
0.0  7.50 7.63  1.4513  
0.0  7.50 8.23  1.4521  
0.0  7.50 8.53  1.4533  
0.0  7.50 8.93  1.4565  
0.0  7.50 9.23  1.4639  
0.0  7.75 7.63  1.4511  
0.0  7.75 8.23  1.4521  
0.0  7.75 8.53  1.4533  
0.0  7.75 8.93  1.4566  
0.0  7.75 9.23  1.4636  
0.0  8.00 7.63  1.4509  
0.0  8.00 8.23  1.4519  
0.0  8.00 8.53  1.4531  
0.0  8.00 8.93  1.4565  
0.0  8.00 9.23  1.4629  
0.0  8.25 7.63  1.4506  
0.0  8.25 8.23  1.4519  
0.0  8.25 8.53  1.4531  
0.0  8.25 8.93  1.4564  
0.0  8.25 9.23  1.4622  
0.0  8.50 7.63  1.4505  
0.0  8.50 8.23  1.4518  
0.0  8.50 8.53  1.4530  
0.0  8.50 8.93  1.4562  
0.0  8.50 9.23  1.4616  
0.50 6.50 7.63  1.4492  
0.50 6.50 8.23  1.4495  
0.50 6.50 8.53  1.4501  
0.50 6.50 8.93  1.4523  
0.50 6.50 9.23  1.4556  
0.50 6.75 7.63  1.4488  
0.50 6.75 8.23  1.4491  
0.50 6.75 8.53  1.4497  
0.50 6.75 8.93  1.4518  
0.50 6.75 9.23  1.4553  
