# Paper: Boyett et al. (2024)
# URL: https://ui.adsabs.harvard.edu/abs/2024arXiv240116934B/abstract
# Survey: JADES
# Sample: EELGs

# Taken from Table 4
# Data columns
# ID        zspec   O3_EW   O3_EW_err   Mass    Mass_eupp       Mass_elow   Beta    Beta_err    O32     O32_err     O32_lolims      R23     R23_err     R23_uplims      Xi_ion      Xi_ion_elow     Xi_ion_eupp     OH      OH_elow     OH_eupp
10058975    9.44    856     75          8.31    0.02            0.02        -2.59   0.01        41.3    8.0         False           6.0     0.2         False           -99.        -99.            -99.            7.4     0.1         0.1   
21842       7.98    1246    37          7.55    0.05            0.04        -2.23   0.01        -99.    -99.        False           -99.    -99.        False           -99.        -99.            -99.            7.6     0.1         0.1
10013682    7.28    2767    763         7.01    0.09            0.08        -1.85   0.04        -99.    -99.        False           -99.    -99.        False           -99.        -99.            -99.            7.7     0.1         0.1
10013905    7.21    844     77          7.61    0.06            0.27        -2.46   0.01        20.0    3.3         False           6.8     0.4         False           -99.        -99.            -99.            -99.    -99.        -99.
4297        6.72    1971    39          7.26    0.03            0.02        -2.29   0.02        12.1    2.0         False           8.9     0.6         False           25.6        0.1             0.1             8.0     0.2         0.2
3334        6.71    1620    72          7.56    0.09            0.07        -2.08   0.02        9.2     4.4         False          14.0     5.4         False           25.2        0.2             0.1             7.8     0.1         0.1
16625       6.63    1449    71          7.34    0.04            0.03        -2.29   0.01        25.9    -99.        True            5.1     -99.        True            25.6        0.1             0.1             7.3     0.1         0.1
18846       6.34    1068    21          8.02    0.04            0.04        -2.53   0.01        38.8    7.3         False           6.4     0.2         False           25.3        0.1             0.1             7.5     0.1         0.1 
18976       6.33    839     30          7.82    0.07            0.06        -2.30   0.01        16.2    -99.        True            6.1     -99.        True            25.4        0.1             0.1             7.5     0.1         0.1
19342       5.98    2090    72          7.77    0.12            0.09        -2.51   0.01        22.1    -99.        True            6.0     -99.        True            25.4        0.1             0.1             7.5     0.1         0.2
9422        5.94    3253    65          7.68    0.01            0.01        -2.31   0.01        38.7    4.3         False           7.7     0.2         False           25.6        0.1             0.1             -99.    -99.        -99.
