# Paper: Chen et al. (2024)
# URL: https://ui.adsabs.harvard.edu/abs/2024MNRAS.528.7052C/abstract
# Taken from Table 3

# Data columns
# log10_EW_O3HB     log10_EW_O3HB_elow      log10_EW_O3HB_eupp      log10_xi_ion    log10_xi_ion_elow       log10_xi_ion_eupp
1982.               333                     462                     25.76           0.14                    0.13
682.                315                     344                     25.86           0.23                    0.04
835.                181                     253                     25.53           0.07                    0.10
4300.               1006                    693                     25.83           0.12                    0.06
2266.               552                     1063                    25.79           0.10                    0.11
1094.               308                     550                     25.60           0.13                    0.19
1475.               315                     565                     25.73           0.16                    0.08
3865.               1329                    883                     25.82           0.16                    0.08
1416.               348                     1298                    25.65           0.12                    0.16
2289.               832                     1674                    25.80           0.16                    0.15
