# Paper: Endsley et al. (2021)
# URL: https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.6044E/abstract

# Data columns
# ID          Redshift Redshift_elow Redshift_eupp Muv   Muv_elow Muv_eupp beta  beta_elow beta_eupp Mass Mass_elow Mass_eupp EW_OIII_HB EW_OIII_HB_elow EW_OIII_HB_eupp xi_ion xi_ion_elow xi_ion_eupp
COS-221419    6.7      0.04          0.05          -21.0 0.1      0.1      -2.8  0.62      -99.0     8.4  0.4       0.4       690        440             760             25.52  0.25        0.19       
COS-235129    6.76     0.07          0.08          -21.4 0.1      0.1      -2.09 0.47      -99.0     9.5  1.0       0.3       200        150             230             25.25  0.39        0.32       
COS-237729    6.83     0.09          0.1           -21.1 0.1      0.1      -1.92 0.34      -99.0     8.8  0.7       0.8       650        420             530             25.6   0.29        0.21       
COS-301652    6.63     0.03          0.09          -21.2 0.1      0.1      -2.08 0.09      -99.0     9.3  1.1       0.7       520        270             330             25.59  0.25        0.18       
COS-469110    6.65     0.0           0.0           -21.7 0.1      0.2      -1.69 0.5       -99.0     8.8  0.5       0.8       730        320             380             25.58  0.2         0.22       
COS-505871    6.67     0.07          0.12          -21.2 0.1      0.1      -2.23 0.62      -99.0     10.0 1.5       0.2       290        190             320             25.5   0.31        0.24       
COS-534584    6.6      0.01          0.01          -21.9 0.1      0.1      -1.76 0.29      -99.0     9.2  0.7       0.5       790        390             520             25.5   0.19        0.2        
COS-788571    6.884    0.0           0.0           -21.5 0.1      0.1      -2.11 0.53      -99.0     8.9  0.3       0.4       3680       1660            1940            25.91  0.11        0.06       
COS-851423    6.65     0.03          0.05          -21.1 0.1      0.1      -2.64 0.38      -99.0     8.3  0.3       0.7       1030       480             730             25.63  0.19        0.14       
COS-854905    6.67     0.03          0.05          -21.4 0.1      0.1      -1.95 0.24      -99.0     8.8  0.6       0.9       560        350             490             25.51  0.28        0.2        
COS-856875    6.68     0.03          0.05          -21.2 0.1      0.1      -2.07 0.37      -99.0     8.6  0.5       0.6       540        280             430             25.48  0.22        0.2        
COS-862541    6.85     0.0           0.0           -22.5 0.1      0.1      -1.9  0.43      -99.0     9.1  0.3       0.4       4160       1270            1610            25.89  0.08        0.08       
COS-940214    6.748    0.0           0.0           -20.4 0.2      0.2      -2.77 0.54      -99.0     8.0  0.3       0.4       3210       1790            1950            25.87  0.16        0.1        
COS-955126    6.813    0.0           0.0           -21.5 0.1      0.1      -2.44 0.13      -99.0     8.5  0.3       0.6       1620       650             980             25.73  0.11        0.1        
COS-1009842   6.761    0.0           0.0           -20.6 0.1      0.2      -2.61 0.44      -99.0     8.3  0.4       0.8       910        500             720             25.65  0.22        0.15       
COS-1048848   6.69     0.08          0.11          -20.7 0.1      0.1      -2.43 0.35      -99.0     8.4  0.3       0.3       310        180             300             25.35  0.33        0.24       
COS-1053257   6.68     0.05          0.07          -22.0 0.1      0.1      -2.02 0.2       -99.0     8.5  0.2       0.8       630        310             530             25.75  0.23        0.13       
COS-1099982   6.68     0.02          0.03          -21.6 0.1      0.1      -1.83 0.08      -99.0     8.6  0.3       0.5       2470       690             1080            25.76  0.07        0.09       
COS-1205190   7.049    0.0           0.0           -20.9 0.2      0.2      -3.44 1.03      -99.0     8.6  0.5       0.4       330        220             470             25.42  0.4         0.27       
COS-1235751   6.74     0.07          0.09          -21.3 0.1      0.1      -1.1  0.3       -99.0     9.4  0.6       0.5       300        190             240             25.35  0.34        0.3        
XMM3-227436   7.093    0.0           0.0           -22.3 0.1      0.2      -1.85 0.27      -99.0     9.0  0.4       0.7       930        510             800             25.84  0.23        0.28       
XMM3-504799   6.883    0.0           0.0           -22.5 0.1      0.1      -2.02 0.42      -99.0     9.3  0.4       0.6       2310       1150            1830            26.22  0.23        0.25       
