# Paper: Guseva et al. (2011)
# URL: https://ui.adsabs.harvard.edu/abs/2011A%26A...529A.149G/abstract
# Sample: low-metallicity, local emission line galaxies

# Taken from Table 6, 7, 8 (not the full table just the parts that we need)
# Data columns
# ID            12+log10(O/H)       12+log10(O/H)_err       log10(Ne/O)     log10(Ne/O)_err
UM254           8.16                0.03                    -0.64           0.06
UM283D          8.07                0.03                    -0.77           0.05
UM283O          8.06                0.03                    -0.76           0.05
UM133H          7.69                0.02                    -0.81           0.03
UM133O          7.71                0.01                    -0.81           0.02
UM382           7.81                0.01                    -0.79           0.02
UM408           7.94                0.01                    -0.78           0.02
UM417           7.67                0.01                    -0.79           0.02
MRK600          7.88                0.01                    -0.87           0.02
TOL0618-402     8.20                0.02                    -0.66           0.04
HE2-10C         7.87                0.02                    -1.13           0.04
HE2-10E         8.40                0.06                    -0.94           0.14
NGC3125         8.26                0.01                    -0.61           0.02
MRK1259         8.12                0.04                    -1.03           0.08
MRK1271         7.99                0.01                    -0.66           0.02
POX4            8.07                0.01                    -0.79           0.02
TOL1214-277     7.53                0.01                    -0.79           0.02
J1253-0312      8.00                0.01                    -0.78           0.02  
NGC5253-C1      8.14                0.01                    -0.67           0.02
NGC5253-C2      8.31                0.01                    -0.80           0.02
NGC5253-P1      8.00                0.01                    -0.75           0.01
NGC5253-P2      8.15                0.01                    -0.65           0.02
TOL89-1         8.34                0.01                    -0.73           0.02
TOL89-2         8.40                0.02                    -0.87           0.04
NGC5408-1       8.03                0.01                    -0.70           0.02
NGC5408-2       8.13                0.01                    -0.74           0.02
TOL1457-262     8.27                0.01                    -0.71           0.02
TOL1924-416-1   7.99                0.01                    -0.78           0.02
TOL1924-416-2   8.09                0.01                    -0.80           0.02
NGC6822-V       8.16                0.01                    -0.78           0.02
PHL-293B        7.72                0.01                    -0.74           0.02
NGC346A-1       8.07                0.01                    -0.79           0.02
NGC346A-2       8.03                0.01                    -0.73           0.02
NGC346A-3       8.04                0.01                    -0.73           0.03
NGC346B-1       8.05                0.01                    -0.76           0.02
NGC346B-2       8.01                0.01                    -0.75           0.02
NGC346D-1       7.98                0.01                    -0.78           0.02
NGC346D-2       7.95                0.01                    -0.76           0.02
NGC346D-3       7.99                0.01                    -0.75           0.02
NGC346D-4       7.96                0.01                    -0.74           0.02
NGC456A-1       8.06                0.01                    -0.84           0.02
NGC456A-2       8.04                0.01                    -0.79           0.02
NGC456A-3       8.05                0.01                    -0.84           0.02
UM420-2         8.16                0.04                    -0.68           0.07
CAM0357-3915    7.90                0.01                    -0.77           0.02
TOL0513-393     7.94                0.01                    -0.88           0.02
NGC6822V-1      8.15                0.01                    -0.74           0.03
NGC6822V-2      8.13                0.02                    -0.74           0.04
TOL2138-405-1   8.12                0.01                    -0.72           0.03
TOL2146-391-1   7.82                0.01                    -0.76           0.02
TOL2146-391-2   7.77                0.01                    -0.75           0.02
TOL2240-384     7.85                0.01                    -0.83           0.02
UM160-1         7.97                0.02                    -0.87           0.04
NGC346A-1       8.01                0.01                    -0.71           0.02
NGC346A-2       8.04                0.01                    -0.73           0.02
NGC346A-3       8.02                0.01                    -0.69           0.02
NGC346B-1       8.05                0.01                    -0.71           0.02
NGC346B-2       8.02                0.01                    -0.74           0.02
NGC346D-1       8.03                0.01                    -0.73           0.02
NGC346D-2       8.03                0.01                    -0.74           0.02
NGC346D-3       8.00                0.01                    -0.71           0.02
NGC346D-4       8.00                0.01                    -0.72           0.02
NGC456A-1       8.06                0.01                    -0.83           0.02
NGC456A-2       8.05                0.01                    -0.81           0.02
NGC456A-3       8.05                0.01                    -0.83           0.02
UM420-1         8.15                0.03                    -0.66           0.06
UM420-2         8.04                0.02                    -0.65           0.04
CAM0357-3915    7.90                0.01                    -0.75           0.02
TOL0513-393     7.95                0.01                    -0.80           0.02
TOL1214-277     7.55                0.01                    -0.88           0.02
TOL65-1         7.53                0.01                    -0.77           0.02
TOL65-2         7.56                0.01                    -0.77           0.02
NGC6822V-1      8.13                0.01                    -0.73           0.02
NGC6822V-2      8.10                0.01                    -0.69           0.03
NGC6822X        8.03                0.03                    -0.73           0.06
TOL2138-405-1   8.02                0.01                    -0.71           0.02
TOL2138-405-3   7.96                0.01                    -0.75           0.03
TOL2146-391-1   7.82                0.01                    -0.78           0.02
TOL2146-391-2   7.79                0.01                    -0.77           0.02
TOL2240-384     7.93                0.01                    -0.95           0.02
UM160-1         7.94                0.01                    -0.80           0.02
UM160-2         8.09                0.02                    -0.74           0.04
UM160-3         8.10                0.01                    -0.75           0.02
