# Paper: Isobe et al. (2022)
# URL: https://ui.adsabs.harvard.edu/abs/2022ApJ...925..111I/abstract
# Survey: EMPRESS

# Data columns
# ID                Redshift    12+log10(O/H)   12+log10(O/H)_elow  12+log10(O/H)_eupp      log10(Ne/O)     log10(Ne/O)_elow    log10(Ne/O)_eupp
J0156-0421          0.04907     7.48            0.06                0.07                    -0.759          0.019               0.021
J0159-0622          0.00852     7.68            0.03                0.04                    -0.878          0.018               0.017
J0210-0124          0.01172     7.76            0.03                0.03                    -0.688          0.017               0.016
J0214-0243          0.02860     7.96            0.04                0.04                    -0.644          0.018               0.016
J0226-0517          0.04386     7.78            0.04                0.04                    -0.664          0.017               0.016
J0232-0248          0.04336     7.73            0.04                0.04                    -0.692          0.017               0.018
J1608+4337          0.02896     7.75            0.04                0.04                    -0.653          0.016               0.017
J2236+0444          0.02870     7.05            0.12                0.17                    -0.811          0.066               0.063
J2321+0125          0.05639     7.28            0.16                0.29                    -0.810          0.064               0.074
J2355+0200          0.01231     7.15            0.13                0.20                    -0.813          0.051               0.053
