# Paper: Onodera et al. (2020)
# URL: https://ui.adsabs.harvard.edu/abs/2020ApJ...904..180O/abstract
# IMF: Chabrier

# Data columns
# Note: If Error is 999. is uplim and if -999. then lower limit. 
# ID    zspec   Flux_Hbeta      err_Flux_Hbeta       Flux_OIII_5007     err_Flux_OIII_5007      EW_OIII_5007    err_EW_OIII_5007    O32     err_O32         R23     err_R23      xi_ion_0       err_xi_ion_0        log10_mass      err_log10_mass      log10_SFR_SED   err_log10_SFR_SED       log10_SFR_UV    err_log10_SFR_UV
312786	3.2758	0.69            999.                 5.59               0.27                    223             11                  4.5     -999.           10.5    -999.        25.00          999.                9.58            0.15                1.22            0.26                    1.24            0.09	
314763	3.3148  2.66            0.27                 9.83               0.42                    217             9                   1.9     0.7             6.5     1.7          25.30          0.07                9.55            0.20                1.95            0.25                    1.70            0.05	
324921	3.2539  2.52            0.35                 12.81              0.46	                250             9                   1.5     0.6             9.6     2.8          25.33          0.08                9.83            0.14                1.66            0.18                    1.60            0.06	
337592	3.5492  2.84            0.48                 10.41              0.42                    2051            82                  7.2     -999.           4.8     3.1          25.86          0.15                8.29            0.19                1.41            0.15                    0.96            0.12	
340544	3.5965  3.29            0.35                 17.95              0.74                    1391            57                  2.9     1.3             9.4     3.4          25.63          0.09                8.95            0.31                1.74            0.22                    1.38            0.07	
350488	3.1468  1.89            999.                 12.76              0.57                    233             11                  4.3     -999.           8.5     -999.        25.70          999.                10.36           0.08                1.23            0.24                    1.10            0.16	
796059	3.1132  6.23            999.                 22.75              0.89	                407             16                  2.7     1.2             6.5     -999.        25.70          999.                9.99            0.10                1.36            0.10                    1.39            0.06	
797658	3.1181  5.76            999.                 18.49              0.55                    1123            33                  nan     nan             nan     nan          26.00          999.                9.02            0.24                1.47            0.31                    1.17            0.11	
798507	3.2837  2.35            0.51                 10.89              0.59                    557             30                  2.5     1.0             8.1     2.8          25.30          0.11                8.88            0.14                1.90            0.15                    1.53            0.06	
809877	3.1144  6.45            999.                 21.12              0.73                    1853            64                  nan     nan             nan     nan          25.80          999.                8.46            0.07                1.66            0.09                    1.19            0.06	
810838	3.4338  4.24            0.64                 11.06              0.59                    262             14                  1.5     0.7             5.2     2.0          25.70          0.11                9.91            0.13                1.45            0.16                    1.46            0.08	
818357	3.4348  1.52            999.                 5.53               0.49                    670             60                  3.0     -999.           4.6     -999.        25.70          999.                8.75            0.32                1.56            0.25                    1.07            0.19	
870659	3.4028  0.59            0.18	             4.17               0.32                    570             43                  4.2     -999.           8.8     8.1          25.21          0.23                8.53            0.25                1.54            0.19                    0.94            0.16	
871455	3.4381  0.89	        999.                 6.09               0.37                    472             29                  5.8     -999.           9.0     -999.        25.00          999.                8.87            0.26                1.55            0.21                    1.27            0.07	
891150	3.4976  1.62            999.                 8.01               0.66                    153             13                  1.3     0.4             11.2    -999.        25.00          999.                9.82            0.16                1.79            0.18                    1.77            0.05	
893160	3.3792  1.67            0.18	             6.38               0.31                    1171            58                  5.3     -999.           5.0     2.8          25.54          0.13                8.30            0.17                1.32            0.16                    1.00            0.10	
894641	3.3216  0.94            0.15	             6.20               0.24                    572             22                  2.6     -999.           7.7     6.8          25.32          0.20                9.03            0.27                1.20            0.39                    1.23            0.16	
919252	3.3617  1.33            0.25	             11.93              0.38                    860             27                  3.3     1.3             14.7    5.0          25.15          0.10                8.72            0.15                1.75            0.15                    1.30            0.06	
919704	3.2512  1.46            0.25                 9.41               0.32                    133             5                   2.5     -999.           5.7     3.8          25.58          0.16                10.57           0.06                0.79            0.21                    1.32            0.13	
