# Paper: Rinaldi et al. (2024)
# URL: https://ui.adsabs.harvard.edu/abs/2024ApJ...969...12R/abstract
# Survey: MIDIS

# These are from Table 1
# Lines 7 - 18
# Data columns
# ID 	    RA	        DEC	        zphot	log10_Age	log10_Age_elow 	log10_Age_eupp	Mass	Mass_elow	Mass_eupp	log10EW_HA	log10EW_HA_elow	log10EW_HA_eupp	beta    beta_elow   beta_eupp	MUV	    MUV_elow	MUV_eupp	fesc_LyC	fesc_LyC_elow	fesc_LyC_eupp	xi_ion	xi_ion_elow	xi_ion_eupp
MIDIS-7784  53.186448  -27.779234   7.56    7.00	    0.32	        0.22            7.43	0.26 	    0.19	    2.94	    0.41	        0.34            -2.60	0.32	    0.32 	    -20.86	0.06        0.06	    0.19	    0.13	        0.45 	        25.65	0.08	    0.30
MIDIS-8868  53.176707  -27.782018   6.98    6.32	    0.22	        0.12            8.07	0.68 	    0.42	    3.61	    0.08	        0.08            -1.62	0.26	    0.26 	    -19.97	0.06        0.06	    0.01	    0.01	        0.02 	        25.54	0.01	    0.01
MIDIS-9359  53.178683  -27.776321   7.28    7.00	    0.32	        0.81            8.09	0.17 	    0.28	    2.72	    0.23	        0.20            -1.97	0.11	    0.11 	    -21.17	0.04        0.04	    0.03	    0.02	        0.03 	        25.19	0.01	    0.01
MIDIS-9432  53.179766  -27.774649   7.20    6.32	    0.13	        0.09            9.00	0.04 	    0.04	    3.11	    0.12	        0.12            -1.42	0.11	    0.11 	    -21.39	0.04        0.04	    0.01	    0.01	        0.07 	        25.03	0.01	    0.01
MIDIS-9434  53.179546  -27.774438   7.68    6.48	    0.01	        0.01            7.71	0.04 	    0.04	    3.56	    0.10	        0.10            -2.50	0.37	    0.37 	    -20.56	0.06        0.06	    0.15	    0.09	        0.39 	        25.87	0.04	    0.25
MIDIS-9497  53.179550  -27.773955   7.14    6.32	    0.18	        0.23            8.55	0.43 	    0.06	    3.08	    0.19	        0.18            -2.03	0.25	    0.25 	    -20.22	0.05        0.05	    0.04	    0.02	        0.06 	        25.45	0.01	    0.02
MIDIS-9553  53.179511  -27.773457   7.58    6.48	    0.52	        0.43            7.99	0.34 	    0.16	    3.24	    0.37	        0.33            -2.21	0.44	    0.44 	    -19.89	0.11        0.11	    0.06	    0.04	        0.19 	        25.69	0.02	    0.09
MIDIS-9932  53.164649  -27.788155   7.27    6.48	    0.17	        0.25            7.47	0.37 	    0.15	    2.82	    0.32	        0.27            -2.35	0.15	    0.15 	    -20.24	0.04        0.04	    0.09	    0.05	        0.11 	        25.35	0.03	    0.05
MIDIS-10026 53.164840  -27.788268   7.16    6.48	    0.29	        0.60            8.71	0.04 	    0.04	    3.18	    0.11	        0.11            -2.34	0.11	    0.11 	    -21.89	0.04        0.04	    0.09	    0.05	        0.09 	        25.64	0.02	    0.04
MIDIS-10036 53.164696  -27.788236   7.28    6.86	    0.94	        0.18            8.52	0.05 	    0.31	    2.89	    0.17	        0.15            -2.23	0.11	    0.11 	    -21.53	0.04        0.04	    0.07	    0.04	        0.06 	        25.69	0.01	    0.03
MIDIS-10874 53.161720  -27.785397   7.31    7.32	    0.26	        0.06            8.89	0.08 	    0.06	    2.63	    0.27	        0.23            -1.93	0.11	    0.11 	    -22.36	0.04        0.04	    0.03	    0.02	        0.03 	        25.19	0.01	    0.01
MIDIS-13137 53.159856  -27.770046   7.00    6.48	    0.01	        0.01            7.47	0.05 	    0.05	    3.60	    0.09	        0.09            -2.61	0.31	    0.31 	    -20.97	0.05        0.05	    0.20	    0.11	        0.38 	        25.82	0.05	    0.25


# These were extracted from Figure 6 using WebPlotDigitizer
# Lines 25 - 36
# Data Columns
# sSFR  log10_xi_ion
-7.515   25.794
-7.261   25.722
-7.796   25.656
-7.800   25.599
-7.692   25.558
-7.871   25.572
-7.895   25.437
-7.484   25.209
-8.037   25.244
-8.183   25.273
-8.022   25.179
-8.267   24.932
