# Paper: Tang et al. (2019)
# URL: https://ui.adsabs.harvard.edu/abs/2019MNRAS.489.2572T/abstract
# Note: This was extracted from Figure 8 using WebPlotDigitizer

# Data columns
# EW_OIII_HB    log10_xi_ion
2756.10         25.788
1866.41         25.631
1630.80         25.631
1494.80         25.772
1351.28         25.832
1544.55         25.551
1510.00         25.521
1352.44         25.523
1258.74         25.561
1239.46         25.629
1007.97         25.670
972.130         25.620
937.741         25.613
898.221         25.541
980.348         25.492
902.020         25.480
909.842         25.399
958.027         25.372
766.448         25.272
753.014         25.340
685.260         25.380
661.192         25.431
626.641         25.500
636.555         25.489
659.376         25.320
698.458         25.121
567.778         25.570
547.582         25.518
537.602         25.429
516.018         25.319
494.408         25.309
485.569         25.299
461.012         25.261
436.726         25.230
482.762         25.510
460.512         25.520
376.330         25.641
358.806         25.540
367.495         25.360
389.401         25.231
375.518         25.161
357.323         25.120
