# Paper: Tang et al. (2023)
# URL: https://ui.adsabs.harvard.edu/abs/2023MNRAS.523.5468S/abstract

# Data columns
# ID    	zspec	Mass	Mass_elow	Mass_eupp	EW_O3_HB	EW_O3_HB_elow	EW_O3_HB_eupp	xi_ion	xi_ion_elow	xi_ion_eupp	
CEERS-24 	8.999 	7.48 	0.13		0.69 		2085.0 		1122.0 			2781.0 			25.80 	0.22 		0.13
CEERS-23  	8.881 	7.62 	0.37 		0.65 		1175.0 		528.0 			1267.0 			25.71 	0.19 		0.14
CEERS-1025	8.715 	7.86 	0.02 		0.03 		1787.0 		468.0 			313.0 			25.80 	0.01 		0.01
CEERS-1019 	8.678 	8.67 	0.09 		0.11 		2599.0 		459.0 			642.0 			26.00 	0.10 		0.14
CEERS-3 	8.00 	7.67 	0.58 		0.59 		879.0 		378.0 			531.0 			25.61 	0.16 		0.16
CEERS-1027 	7.819 	7.82 	0.06 		0.12 		3276.0 		1082.0 			975.0 			25.79 	0.04 		0.04
CEERS-698 	7.470 	8.69 	0.10 		0.13 		2564.0 		1001.0 			1879.0 			25.82 	0.10 	 	0.14
CEERS-1038 	7.194 	7.42 	0.08 		0.07 		2650.0 		432.0 			420.0 			25.80 	0.02 		0.02
CEERS-498 	7.180 	7.52 	0.03 		0.03 		2840.0 		199.0 			206.0 			25.81 	0.01 		0.02
CEERS-499 	7.168 	6.79 	0.44 		0.75 		1045.0 		486.0 			969.0 			25.64 	0.17 		0.16
CEERS-44	7.100 	7.56 	0.23 		0.24 		1786.0 		271.0 			254.0 			25.72 	0.05 		0.05
CEERS-407 	7.028 	7.17 	0.15 		0.33 		1902 		453.0 			1844.0 			25.80 	0.09 		0.10 	
