# Paper: Whitler et al. (2024)
# URL: https://ui.adsabs.harvard.edu/abs/2024MNRAS.529..855W/abstract

# Note: sSFR is in Gyr-1
# Data columns
# ID 	RA				DEC				F200W	F200W_elow	F200_eupp	Beta	Beta_elow Beta_eupp	Redshift	Redshift_elow	Redshift_eupp	Mass	Mass_elow	Mass_eupp	sSFR	sSFR_elow	sSFR_eupp	xi_ion	xi_ion_elow	xi_ion_eupp	
69787	14:20:08.49 	+52:53:26.40 	24.9	0.0		0.0 	-1.7	0.0	0.0		 8.678 	0.00 	0.00 	   9.0	0.1	0.1 	173	 21	 20 	25.74	0.02	0.02
57663	14:20:02.08 	+52:52:05.90 	26.2	0.0		0.0 	-1.8	0.1	0.1		 8.78	0.06	0.06	   8.5	0.5	0.4 	37 	 25	 77 	25.68	0.13	0.17
81676	14:20:19.11 	+52:54:34.44 	27.8	0.1		0.1 	-2.0	0.2	0.2		 8.50	0.25	0.22	   8.0	0.7	0.6 	36 	 30	179 	25.59	0.12	0.31
56565	14:19:57.50 	+52:51:59.61 	26.7	0.0		0.0 	-1.7	0.1	0.1		 8.59	0.13	0.12	   8.3	0.3	0.2 	84 	 38	 83 	25.66	0.06	0.12
56248	14:19:56.21 	+52:51:57.91 	27.7	0.1		0.1 	-2.6	0.1	0.1		 8.47	0.15	0.12	   7.5	0.1	0.1 	601	205 245 	26.04	0.03	0.02
49099	14:19:59.13 	+52:51:14.96 	27.8	0.1		0.1 	-2.7	0.2	0.2		 8.50	0.17	0.16	   7.9	0.4	0.5 	31 	 24  65 	25.59	0.10	0.19
89489	14:20:16.84 	+52:55:45.48 	27.3	0.1		0.1 	-1.3	0.2	0.2		 9.10	0.58	0.62	   8.5	0.6	0.5 	28 	21 	 93 	25.62	0.12	0.21
83130	14:19:48.14 	+52:54:42.39 	26.9	0.1		0.1 	-2.6	0.3	0.3		 8.52	0.16	0.17	   8.4	0.3	0.3 	22 	12 	 27 	25.61	0.07	0.10
89540	14:19:52.49 	+52:55:46.75 	26.6	0.1		0.1 	-2.1	0.2	0.2		 8.84	0.18	0.10	   7.9	0.1	0.6 	166	135 480 	25.85	0.28	0.19
87873	14:19:52.21 	+52:55:58.65 	26.2	0.0		0.0 	-2.3	0.1	0.1		 8.715 	0.00 	0.00 	   8.5	0.1	0.2 	33 	11 	 12 	25.64	0.04	0.04
83141	14:19:45.27 	+52:54:42.32 	26.7	0.0		0.0 	-2.5	0.1	0.1		 8.763 	0.00 	0.00 	   7.8	0.2	0.2 	147	69 	 90 	25.84	0.11	0.16
57722	14:19:41.84 	+52:52:06.94 	28.0	0.1		0.2 	-2.5	0.4	0.4		 8.80	0.34	0.34 	   7.8	0.5	0.6 	38 	31 	138 	25.58	0.11	0.22
44155	14:19:46.52 	+52:50:39.22 	26.7	0.1		0.1 	-2.4	0.2	0.2		 8.43	0.13	0.18 	   8.2	0.6	0.4 	35 	23 	479 	25.65	0.10	0.40
130899	14:19:48.02 	+52:56:57.38 	27.9	0.1		0.2 	-2.9	0.4	0.4		 8.21	0.21	0.27 	   7.6	0.3	0.5 	77 	56 	218 	25.65	0.12	0.26
126832	14:19:47.34 	+52:57:23.96 	27.5	0.1		0.1 	-2.3	0.3	0.3		 8.32	0.19	0.18 	   8.0	0.4	0.5 	29 	21 	 56 	25.62	0.11	0.16
91290	14:19:34.01 	+52:55:35.21 	27.5	0.1		0.1 	-2.1	0.3	0.3		 8.71	0.70	0.35 	   8.8	0.8	0.2 	5  	3 	 54 	25.47	0.02	0.18
118482	14:19:48.43 	+52:58:19.59 	27.5	0.1		0.2 	-2.1	0.3	0.3		 8.19	0.19	0.22 	   7.7	0.3	0.6 	83 	67 	432 	25.75	0.22	0.30
118130	14:20:28.81 	+52:58:21.22 	27.5	0.1		0.1 	-2.3	0.2	0.2		 8.58	0.16	0.15 	   7.9	0.5	0.5 	42 	32 	140 	25.67	0.15	0.24
64770	14:19:30.27 	+52:52:50.99 	27.4	0.0		0.0 	-1.5	0.1	0.1		 7.69	0.01	0.01 	   7.9	0.1	0.1 	268	65 	 72 	25.84	0.04	0.03
110201	14:20:02.81 	+52:59:17.91 	26.6	0.0		0.0 	-2.6	0.1	0.1		 8.876	0.00 	0.00 	   8.4	0.2	0.2 	29 	13 	 20 	25.66	0.08	0.08
109389	14:19:58.65 	+52:59:21.77 	27.1	0.1		0.1 	-2.4	0.1	0.1		 8.807	0.00 	0.00 	   8.2	0.3	0.4 	31 	22 	 49 	25.63	0.11	0.14
42054	14:19:31.92 	+52:50:25.52 	26.5	0.0		0.0 	-2.1	0.1	0.1		 8.35 	0.06 	0.06 	   7.8	0.1	0.2 	217	79 	 78 	25.81	0.08	0.05
116241	14:20:37.47 	+52:58:36.06 	27.6	0.1		0.1 	-2.0	0.3	0.3		 8.72 	0.22 	0.21 	   8.2	0.7	0.6 	26 	21 	145 	25.57	0.10	0.29
70289	14:19:22.74 	+52:53:31.60 	26.9	0.1		0.1 	-1.8	0.1	0.1		 8.62 	0.12 	0.12 	   8.2	0.1	0.1 	228	53 	 67 	25.83	0.05	0.06
101537	14:20:05.90 	+53:00:39.25 	27.5	0.1		0.1 	-1.7	0.2	0.2		 8.56 	0.21 	0.18 	   7.6	0.1	0.6 	456	424 311 	26.04	0.40	0.04
15298	14:19:20.26 	+52:46:53.92 	27.7	0.1		0.1 	-2.2	0.3	0.3		 8.44 	0.15 	0.18 	   7.9	0.4	0.5 	37 	27 	 69 	25.62	0.11	0.18
35943	14:18:58.14 	+52:49:43.77 	26.8	0.1		0.1 	-1.8	0.2	0.2		 8.68 	0.16 	0.14 	   8.6	0.5	0.3 	20 	13 	 51 	25.60	0.09	0.17
2992 	14:19:05.48 	+52:44:27.11 	26.7	0.1		0.1 	-2.0	0.2	0.2		 8.84 	0.14 	0.27 	   7.9	0.1	0.6 	215	187 472 	25.93	0.35	0.15
